brandKey,brandName,modelKey,modelName,type,minutes
mercedes_benz,Mercedes-Benz,c_class,C-Class,Sedan,60
mercedes_benz,Mercedes-Benz,e_class,E-Class,Sedan,60
mercedes_benz,Mercedes-Benz,s_class,S-Class,Sedan,60
mercedes_benz,Mercedes-Benz,g_class,G-Class,SUV,90
mercedes_benz,Mercedes-Benz,gla_class,GLA-Class,SUV,90
mercedes_benz,Mercedes-Benz,glb_class,GLB-Class,SUV,90
mercedes_benz,Mercedes-Benz,glc_class,GLC-Class,SUV,90
mercedes_benz,Mercedes-Benz,gle_class,GLE-Class,SUV,90
mercedes_benz,Mercedes-Benz,v_class,V-Class,MPV,120

bmw,BMW,1_series,1 Series,Sedan,60
bmw,BMW,2_series,2 Series,Sedan,60
bmw,BMW,3_series,3 Series,Sedan,60
bmw,BMW,5_series,5 Series,Sedan,60
bmw,BMW,6_series,6 Series,Sedan,60
bmw,BMW,7_series,7 Series,Sedan,60
bmw,BMW,i_sedan,i (Sedan),Sedan,60
bmw,BMW,m,M,Sedan,60
bmw,BMW,i_suv,i (SUV),SUV,90
bmw,BMW,x,x,SUV,90

lexus,Lexus,ct_200h,CT 200h,Sedan,60
lexus,Lexus,es_250,ES 250,Sedan,60
lexus,Lexus,is_250,IS 250,Sedan,60
lexus,Lexus,is_300,IS 300,Sedan,60
lexus,Lexus,ls_500,LS 500,Sedan,60
lexus,Lexus,gx_550,GX 550,SUV,90
lexus,Lexus,lbx,LBX,SUV,90
lexus,Lexus,lx_570,LX 570,SUV,90
lexus,Lexus,lx_600,LX 600,SUV,90
lexus,Lexus,nx_200t,NX 200t,SUV,90
lexus,Lexus,nx_250,NX 250,SUV,90
lexus,Lexus,nx_300,NX 300,SUV,90
lexus,Lexus,nx_350,NX 350,SUV,90
lexus,Lexus,rx_200t,RX 200t,SUV,90
lexus,Lexus,rx_270,RX 270,SUV,90
lexus,Lexus,rx_300,RX 300,SUV,90
lexus,Lexus,rx_350,RX 350,SUV,90
lexus,Lexus,rx_500h,RX 500h,SUV,90
lexus,Lexus,ux_200,UX 200,SUV,90
lexus,Lexus,lm_500h,LM 500h,MPV,120

porsche,Porsche,panamera,Panamera,Sedan,60
porsche,Porsche,taycan,Taycan,Sedan,60
porsche,Porsche,cayenne,Cayenne,SUV,90
porsche,Porsche,macan,Macan,SUV,90

audi,Audi,a3,A3,Sedan,60
audi,Audi,a4,A4,Sedan,60
audi,Audi,a5,A5,Sedan,60
audi,Audi,a6,A6,Sedan,60
audi,Audi,a7,A7,Sedan,60
audi,Audi,a8,A8,Sedan,60
audi,Audi,rs3,RS3,Sedan,60
audi,Audi,rs5,RS5,Sedan,60
audi,Audi,rs7,RS7,Sedan,60
audi,Audi,s3,S3,Sedan,60
audi,Audi,s5,S5,Sedan,60
audi,Audi,q3,Q3,SUV,90
audi,Audi,q5,Q5,SUV,90
audi,Audi,q7,Q7,SUV,90
audi,Audi,q8,Q8,SUV,90

byd,BYD,dolphin,Dolphin,Sedan,60
byd,BYD,seal,Seal,Sedan,60
byd,BYD,seal_6,Seal 6,Sedan,60
byd,BYD,atto_2,Atto 2,SUV,90
byd,BYD,atto_3,Atto 3,SUV,90
byd,BYD,sealion_7,Sealion 7,SUV,90

peugeot,Peugeot,208,208,Sedan,60
peugeot,Peugeot,308,308,Sedan,60
peugeot,Peugeot,508,508,Sedan,60
peugeot,Peugeot,2008,2008,SUV,90
peugeot,Peugeot,3008,3008,SUV,90
peugeot,Peugeot,5008,5008,SUV,90

subaru,Subaru,wrx,Wrx,Sedan,60
subaru,Subaru,forester,Forester,SUV,90
subaru,Subaru,xv,XV,SUV,90

volkswagen,Volkswagen,arteon,Arteon,Sedan,60
volkswagen,Volkswagen,golf,Golf,Sedan,60
volkswagen,Volkswagen,jetta,Jetta,Sedan,60
volkswagen,Volkswagen,passat,Passat,Sedan,60
volkswagen,Volkswagen,polo,Polo,Sedan,60
volkswagen,Volkswagen,scirocco,Scirocco,Sedan,60
volkswagen,Volkswagen,vento,Vento,Sedan,60
volkswagen,Volkswagen,tiguan,Tiguan,SUV,90
volkswagen,Volkswagen,sharan,Sharan,MPV,120

volvo,Volvo,v40,V40,Sedan,60
volvo,Volvo,s60,S60,Sedan,60
volvo,Volvo,s90,S90,Sedan,60
volvo,Volvo,c40,C40,SUV,90
volvo,Volvo,ex30,EX30,SUV,90
volvo,Volvo,xc40,XC40,SUV,90
volvo,Volvo,xc60,XC60,SUV,90
volvo,Volvo,xc90,XC90,SUV,90
